id,name,category,ratings,Company,Group
1651,Microsoft,Senior Leadership,3.7,Microsoft,Tech
1651,Microsoft,Compensation and Benefits,4.1,Microsoft,Tech
1651,Microsoft,Career Opportunities,3.9,Microsoft,Tech
1651,Microsoft,Work-Life Balance,3.9,Microsoft,Tech
34865,LinkedIn,Culture and Values,4.4,Linkedin,Tech
34865,LinkedIn,Senior Leadership,3.9,Linkedin,Tech
34865,LinkedIn,Compensation and Benefits,4.3,Linkedin,Tech
34865,LinkedIn,Career Opportunities,3.8,Linkedin,Tech
34865,LinkedIn,Work-Life Balance,4.2,Linkedin,Tech
10471,SAP,Culture and Values,4.4,SAP,Tech
10471,SAP,Senior Leadership,4.1,SAP,Tech
10471,SAP,Compensation and Benefits,4.4,SAP,Tech
10471,SAP,Career Opportunities,4.2,SAP,Tech
10471,SAP,Work-Life Balance,4.4,SAP,Tech
1090,Adobe,Culture and Values,4.3,Adobe,Tech
1090,Adobe,Senior Leadership,3.7,Adobe,Tech
1090,Adobe,Compensation and Benefits,4.2,Adobe,Tech
1090,Adobe,Career Opportunities,3.8,Adobe,Tech
1090,Adobe,Work-Life Balance,4.2,Adobe,Tech
11159,Salesforce,Culture and Values,4.5,Salesforce,Tech
11159,Salesforce,Senior Leadership,4.1,Salesforce,Tech
11159,Salesforce,Compensation and Benefits,4.5,Salesforce,Tech
11159,Salesforce,Career Opportunities,4.2,Salesforce,Tech
11159,Salesforce,Work-Life Balance,4.1,Salesforce,Tech
9876,Expedia Group,Culture and Values,3.9,Expedia,Tech
9876,Expedia Group,Senior Leadership,3.3,Expedia,Tech
9876,Expedia Group,Compensation and Benefits,3.8,Expedia,Tech
9876,Expedia Group,Career Opportunities,3.5,Expedia,Tech
9876,Expedia Group,Work-Life Balance,4.1,Expedia,Tech
1425,Cisco Systems,Culture and Values,4.1,Cisco,Tech
1425,Cisco Systems,Senior Leadership,3.6,Cisco,Tech
1425,Cisco Systems,Compensation and Benefits,4,Cisco,Tech
1425,Cisco Systems,Career Opportunities,3.8,Cisco,Tech
1425,Cisco Systems,Work-Life Balance,4.2,Cisco,Tech
319551,AppDynamics,Culture and Values,4.5,Appdynamics,Tech
319551,AppDynamics,Senior Leadership,4.4,Appdynamics,Tech
319551,AppDynamics,Compensation and Benefits,4.6,Appdynamics,Tech
319551,AppDynamics,Career Opportunities,4.5,Appdynamics,Tech
319551,AppDynamics,Work-Life Balance,4.2,Appdynamics,Tech
