Var1,n
interaction,7
joining,7
learned,7
live,7
major,7
membership,7
mind,7
needy,7
overtime,7
para,7
plans,7
profit,7
recent,7
recommend,7
relationship,7
safe,7
scale,7
school,7
shifts,7
significant,7
success,7
supervisor,7
teamwork,7
term,7
till,7
trabalho,7
treated,7
trusted,7
weeks,7
"work
",7
worker,7
health-insurance,7
learning-opportunity,7
management-team,7
nice-environment,7
nice-staff,7
people-flexible,7
progression-opportunities,7
relaxed-atmosphere,7
sighted-people,7
staff-benefits,7
supportive-environment,7
welcoming-environment,7
partially-sighted-people,7
actively,6
admin,6
aims,6
alongside,6
ambition,6
"balance
",6
basic,6
basis,6
beat,6
blood,6
bunch,6
"cause
",6
centre,6
church,6
class,6
clean,6
clothes,6
commercial,6
common,6
communities,6
confidence,6
confident,6
constantly,6
contributing,6
contribution,6
core,6
corporate,6
courses,6
create,6
depending,6
direct,6
director,6
directors,6
effort,6
enthusiastic,6
exec,6
executive,6
expertise,6
experts,6
feedback,6
finding,6
funds,6
growing,6
hire,6
hot,6
hugely,6
importance,6
justice,6
leading,6
leaving,6
legal,6
listening,6
looked,6
main,6
manage,6
maternity,6
matter,6
middle,6
moving,6
networking,6
officers,6
patient,6
pays,6
pdsa,6
perfect,6
pleasure,6
positions,6
professionals,6
progressive,6
properties,6
rate,6
ready,6
reason,6
refreshing,6
reliable,6
respect,6
rest,6
results,6
science,6
se,6
serving,6
setting,6
shape,6
sociable,6
speak,6
stories,6
striving,6
succeed,6
supports,6
surroundings,6
system,6
tearfund,6
terms,6
theyre,6
treat,6
wages,6
walk,6
wider,6
wv,6
you’re,6
amazing-staff,6
balance-friendly,6
bank-holidays,6
company-culture,6
dress-code,6
excellent-training,6
faith-based,6
family-oriented,6
free-entry,6
free-tea,6
friendly-coworkers,6
health-benefits,6
learning-opportunities,6
lovely-customers,6
lovely-team,6
office-friendly,6
people-friendly,6
people-living,6
positive-atmosphere,6
real-passion,6
regular-customers,6
save-lives,6
strong-brand,6
strong-leadership,6
supportive-colleagues,6
supportive-managers,6
supportive-staff,6
supportive-team,6
team-environment,6
vulnerable-children,6
"
",5
"
working",5
abuse,5
abused,5
accommodating,5
advancement,5
advocacy,5
age,5
arrangements,5
attracts,5
avec,5
board,5
british,5
buzz,5
campaigns,5
cared,5
carers,5
cash,5
childrens,5
client,5
code,5
communicate,5
conservation,5
contributes,5
"culture
",5
da,5
deaf,5
dental,5
desire,5
disadvantaged,5
donors,5
é,5
emergency,5
empowered,5
encourage,5
engaging,5
ensure,5
entitlement,5
environments,5
equality,5
ethical,5
facilities,5
fight,5
finish,5
flexibly,5
force,5
friday,5
gained,5
guess,5
havent,5
hear,5
i’m,5
improved,5
individual,5
induction,5
influence,5
investment,5
junior,5
keen,5
largest,5
listen,5
load,5
loving,5
market,5
marketing,5
matters,5
mental,5
minded,5
miss,5
month,5
morning,5
nature,5
nicest,5
normal,5
organisational,5
parking,5
parkinsons,5
parttime,5
"people
great",5
perks,5
pockets,5
practice,5
practices,5
privilege,5
profile,5
pto,5
push,5
raise,5
receive,5
recognition,5
regions,5
remain,5
remotely,5
required,5
rnib,5
run,5
season,5
"sector
",5
shelter,5
sightsavers,5
site,5
situations,5
size,5
son,5
speaking,5
spend,5
stayed,5
strategic,5
stroke,5
supervisors,5
takes,5
"team
",5
technology,5
une,5
vital,5
walks,5
wealth,5
weekends,5
wildlife,5
women,5
wont,5
workload,5
blood-cancer,5
capacity-building,5
career-development,5
casual-dress,5
christian-environment,5
christian-values,5
committed-people,5
committed-staff,5
communication-skills,5
de-travail,5
diverse-range,5
entry-level,5
environment-friendly,5
flexi-time,5
free-membership,5
friendly-culture,5
fun-environment,5
fundraising-team,5
holiday-allowance,5
holiday-entitlement,5
holiday-pay,5
huge-amount,5
international-development,5
learning-environment,5
middle-management,5
mission-driven,5
nice-customers,5
nice-friendly,5
nice-volunteers,5
red-cross,5
relaxed-environment,5
senior-leadership,5
senior-managers,5
sick-pay,5
sick-time,5
staff-development,5
staff-discount,5
strong-sense,5
talented-staff,5
vacation-time,5
volunteers-friendly,5
life-balance-friendly,5
"
excellent",4
"
there",4
"
work",4
"
you",4
achieving,4
ago,4
arent,4
aspects,4
assist,4
bigger,4
biggest,4
bloodwise,4
bon,4
boss,4
bright,4
brightest,4
buy,4
call,4
car,4
card,4
catering,4
changed,4
christ,4
closed,4
closer,4
"colleagues
",4
comfortable,4
competent,4
contract,4
cure,4
degree,4
demanding,4
dependent,4
digital,4
donkeys,4
doors,4
eat,4
education,4
efforts,4
el,4
emotional,4
emphasis,4
employed,4
enthusiasm,4
"environment
",4
es,4
excellence,4
exceptional,4
expert,4
facility,4
fitness,4
floor,4
folks,4
follow,4
furniture,4
globally,4
half,4
hour,4
i’ve,4
idea,4
income,4
informal,4
infrastructure,4
inhouse,4
initiatives,4
innovate,4
intentions,4
internally,4
interview,4
journey,4
joy,4
kroc,4
late,4
leader,4
les,4
likeminded,4
massive,4
meal,4
meant,4
media,4
meetings,4
mention,4
minimum,4
ministry,4
mix,4
monday,4
monthly,4
motivation,4
movement,4
multiple,4
nhs,4
operation,4
organised,4
organizational,4
organized,4
outdoors,4
owners,4
pace,4
perform,4
personable,4
pessoas,4
pressure,4
private,4
proactive,4
process,4
processes,4
processing,4
professionally,4
progressed,4
project,4
raised,4
rapport,4
received,4
recognised,4
recommended,4
regularly,4
related,4
responsibilities,4
royal,4
security,4
sessions,4
shared,4
simple,4
sleep,4
solid,4
sooner,4
spent,4
standing,4
station,4
talking,4
targets,4
teach,4
technical,4
thoughtful,4
touch,4
train,4
transparent,4
true,4
unlike,4
users,4
vibrant,4
voluntary,4
volunteered,4
word,4
worldwide,4
amazing-colleagues,4
amazing-supporters,4
amnesty-international,4
beautiful-locations,4
beautiful-surroundings,4
brilliant-people,4
cancer-research,4
cancer-sooner,4
career-growth,4
career-opportunities,4
caring-people,4
charity-flexible,4
christian-faith,4
collaborative-environment,4
colleagues-lots,4
competitive-salary,4
culture-excellent,4
culture-flexible,4
culture-people,4
de-la,4
decent-salary,4
dedicated-colleagues,4
develop-skills,4
environment-nice,4
environment-supportive,4
excellent-benefits,4
exciting-projects,4
feel-proud,4
feel-valued,4
free-food,4
friendly-management,4
friendly-supportive,4
fun-job,4
genuine-commitment,4
genuine-people,4
highly-motivated,4
hours-friendly,4
incredibly-dedicated,4
inspiring-mission,4
line-management,4
local-community,4
local-management,4
location-flexible,4
lovely-committed,4
lovely-staff,4
lovely-volunteers,4
meeting-people,4
nice-offices,4
nicest-people,4
office-location,4
paced-environment,4
people-ive,4
people-lovely,4
people-nice,4
people-staff,4
positive-culture,4
real-sense,4
rewarding-experience,4
service-skills,4
shop-floor,4
staff-fantastic,4
staff-flexible,4
staff-nice,4
store-manager,4
support-people,4
supporting-people,4
team-friendly,4
varied-job,4
vulnerable-people,4
wide-range,4
wide-variety,4
wonderful-colleagues,4
fast-paced-environment,4
"

my",3
"

the",3
"
a",3
"
amazing",3
"
lots",3
"
nice",3
"
relaxed",3
"
world",3
5pm,3
abroad,3
achieved,3
actionaid,3
acts,3
add,3
added,3
additional,3
advocate,3
afraid,3
ahead,3
aid,3
allowing,3
alot,3
ambiente,3
ample,3
angel,3
aspect,3
assisting,3
associate,3
australia,3
average,3
beating,3
beaucoup,3
believes,3
bem,3
beneficiary,3
benefícios,3
bien,3
birds,3
biscuits,3
blame,3
break,3
brought,3
buen,3
capable,3
carried,3
carry,3
"cause
colleagues",3
centres,3
challenge,3
cheap,3
chief,3
choice,3
circumstances,3
clever,3
closely,3
clothing,3
club,3
collaborate,3
collegues,3
como,3
compassion,3
complex,3
condition,3
connections,3
continuous,3
countries,3
couple,3
cover,3
covers,3
creates,3
credit,3
cutting,3
decision,3
deeply,3
design,3
determined,3
developing,3
"development
",3
diabetes,3
disciplines,3
dog,3
don’t,3
donkey,3
earn,3
earth,3
edge,3
effective,3
efficient,3
email,3
emergencies,3
employers,3
empowerment,3
encourages,3
energetic,3
environnement,3
équipe,3
expectations,3
expected,3
explore,3
expose,3
extensive,3
fabulous,3
fields,3
fit,3
fix,3
flat,3
flexitime,3
folk,3
forefront,3
forwardthinking,3
foundation,3
founded,3
fulltime,3
gaining,3
handling,3
hands,3
handson,3
hang,3
happening,3
headquarters,3
healthcare,3
heard,3
hearing,3
hierarchy,3
honorable,3
horarios,3
hospital,3
hourly,3
hundreds,3
hungry,3
impressive,3
improvements,3
incentive,3
increase,3
independence,3
ingo,3
input,3
integrated,3
integrity,3
interactions,3
interpersonal,3
involvement,3
islington,3
je,3
jesus,3
key,3
kinds,3
larger,3
ld,3
lead,3
lieu,3
lifeguard,3
light,3
"location
",3
los,3
lose,3
loss,3
lost,3
loves,3
lower,3
loyal,3
machine,3
maintain,3
managed,3
managing,3
meaning,3
model,3
moment,3
morale,3
morals,3
muito,3
news,3
nights,3
noble,3
nonprofits,3
nspcc,3
offering,3
"office
",3
"on
",3
online,3
onsite,3
operational,3
operations,3
opinions,3
org,3
"organisation
",3
outcome,3
outcomes,3
outreach,3
ownership,3
parties,3
partners,3
pas,3
pastors,3
"people
good",3
period,3
pick,3
pitch,3
pity,3
"place
",3
politics,3
pool,3
positively,3
pour,3
power,3
powerful,3
practical,3
prayer,3
previous,3
pride,3
principles,3
priority,3
product,3
productive,3
products,3
profits,3
programme,3
programming,3
promoting,3
prostate,3
protect,3
putting,3
reaching,3
recently,3
recovery,3
recruiting,3
recruitment,3
regional,3
rehabilitation,3
relevant,3
relief,3
remains,3
remit,3
remote,3
residents,3
resourced,3
respectful,3
return,3
reward,3
rich,3
rspb,3
rspca,3
sale,3
saving,3
scheduling,3
secondments,3
sectors,3
seek,3
selfless,3
sharing,3
shift,3
shown,3
sight,3
sites,3
situation,3
slow,3
software,3
sort,3
sorting,3
sound,3
special,3
"staff
easy",3
stands,3
starting,3
statement,3
stick,3
strangers,3
street,3
strengths,3
stressful,3
strive,3
structured,3
struggle,3
struggling,3
students,3
style,3
sunday,3
superb,3
talent,3
talk,3
"tasks
",3
tech,3
they’re,3
thrift,3
tools,3
tough,3
trained,3
trainings,3
transformation,3
transportation,3
très,3
trustees,3
