Var1,n
worse,10
dont-care,10
low-salaries,10
management-dont,10
management-style,10
people-management,10
private-sector,10
shop-floor,10
address,9
aggressive,9
attention,9
barnardos,9
basic,9
basis,9
canvassing,9
central,9
chief,9
clothes,9
comments,9
computer,9
contract,9
core,9
couldnt,9
dealt,9
dirty,9
donate,9
employed,9
employer,9
equipment,9
eventually,9
expertise,9
finance,9
follow,9
friendly,9
fulltime,9
half,9
handle,9
hold,9
improving,9
ineffective,9
innovation,9
junior,9
lazy,9
leads,9
les,9
lose,9
loved,9
majority,9
meant,9
mention,9
minute,9
minutes,9
normal,9
operational,9
outdated,9
overly,9
paper,9
parking,9
parttime,9
personally,9
provided,9
questionable,9
quick,9
rarely,9
reach,9
reasons,9
relationships,9
report,9
responsible,9
sad,9
school,9
shown,9
staffed,9
stores,9
stuff,9
supported,9
trained,9
treatment,9
uncertainty,9
undervalued,9
vacation,9
walk,9
customer-service,9
dont-expect,9
frontline-staff,9
internal-politics,9
level-staff,9
progression-opportunities,9
slow-moving,9
top-heavy,9
"

the",8
"
very",8
access,8
account,8
advance,8
ages,8
alot,8
ambitious,8
appreciated,8
assistants,8
aware,8
bank,8
base,8
basically,8
breaking,8
bring,8
brought,8
can’t,8
car,8
cash,8
closed,8
comfortable,8
commercial,8
committed,8
continue,8
crazy,8
creating,8
criticism,8
dated,8
demanding,8
demands,8
description,8
directly,8
effective,8
effectively,8
empathy,8
engagement,8
events,8
expense,8
false,8
fashioned,8
forget,8
formal,8
harassment,8
house,8
hq,8
implemented,8
lacks,8
leader,8
listening,8
lone,8
longterm,8
male,8
managing,8
managment,8
marketing,8
match,8
mistakes,8
month,8
na,8
occasionally,8
overwhelming,8
personality,8
physical,8
procedures,8
quotas,8
rapid,8
received,8
recognised,8
redundancies,8
regular,8
relationship,8
retain,8
reward,8
rid,8
scale,8
schedule,8
serving,8
shame,8
share,8
silos,8
tiring,8
uncomfortable,8
unprofessional,8
weekends,8
whatsoever,8
white,8
workforce,8
chief-executive,8
dont-feel,8
job-description,8
low-wages,8
management-poor,8
money-wasted,8
office-politics,8
people-skills,8
senior-leadership-team,8
action,7
add,7
advantage,7
affected,7
agency,7
animals,7
appreciation,7
arrogant,7
assistant,7
background,7
barely,7
behaviours,7
biggest,7
bottom,7
build,7
bus,7
caring,7
casual,7
clarity,7
clue,7
collaboration,7
commitment,7
commute,7
completed,7
create,7
created,7
credit,7
decent,7
decided,7
demand,7
details,7
donation,7
donors,7
efforts,7
emotionally,7
enjoy,7
entire,7
expenses,7
facilities,7
fail,7
faith,7
gain,7
giving,7
gossip,7
hand,7
havent,7
headquarters,7
holiday,7
honest,7
hourly,7
inadequate,7
informal,7
invest,7
investment,7
ladder,7
limits,7
lip,7
locations,7
loss,7
managerial,7
mass,7
met,7
micromanaging,7
mobility,7
model,7
monotonous,7
motivation,7
moved,7
negatives,7
ngos,7
numerous,7
paperwork,7
park,7
personnel,7
petty,7
plenty,7
priority,7
promote,7
promoting,7
protecting,7
providing,7
push,7
pushed,7
recommend,7
redundancy,7
reflect,7
relevant,7
reliance,7
remote,7
research,7
retention,7
rises,7
shelter,7
shocking,7
siloed,7
situation,7
sorting,7
speaking,7
staffing,7
stagnant,7
stick,7
stories,7
street,7
stressed,7
summer,7
supervisors,7
supporting,7
travelling,7
understandable,7
uninspiring,7
unsupportive,7
upward,7
view,7
waiting,7
wasn’t,7
welfare,7
witnessed,7
wonderful,7
blame-culture,7
career-opportunities,7
change-management,7
extra-hours,7
growth-opportunities,7
hierarchical-structure,7
hr-team,7
huge-amount,7
internal-communication,7
limited-opportunities,7
line-managers,7
lip-service,7
london-office,7
management-staff,7
poor-senior,7
senior-management-team,7
"

there",6
"
lots",6
act,6
additional,6
affect,6
agile,6
anxiety,6
applied,6
carry,6
charge,6
charitable,6
comparable,6
confusion,6
consensus,6
consistent,6
consultation,6
contact,6
crap,6
dark,6
deadlines,6
dealing,6
des,6
didn’t,6
digital,6
direct,6
directorate,6
disabled,6
disconnect,6
donor,6
easily,6
efficiency,6
empire,6
endless,6
entry,6
es,6
essentially,6
ethos,6
everyday,6
exhausting,6
faced,6
favourites,6
fine,6
fire,6
flat,6
forever,6
functions,6
greatly,6
growing,6
handled,6
hands,6
harder,6
hay,6
heads,6
hear,6
heart,6
heavily,6
held,6
hires,6
hostile,6
hrs,6
hugely,6
ignore,6
increasing,6
increasingly,6
integrity,6
intense,6
involved,6
lifting,6
list,6
loads,6
market,6
mentality,6
mess,6
methods,6
mgmt,6
millions,6
ministers,6
miserable,6
nasty,6
ngo,6
option,6
organised,6
organizational,6
paced,6
path,6
payment,6
pension,6
periods,6
physically,6
pour,6
preference,6
pride,6
profile,6
promises,6
ranks,6
read,6
religious,6
reported,6
reputation,6
resource,6
seasonal,6
secretive,6
severe,6
sight,6
sites,6
situations,6
skill,6
slightly,6
slowly,6
society,6
sort,6
spending,6
stabbing,6
step,6
stock,6
strange,6
struggling,6
suit,6
supervisor,6
supposed,6
tech,6
tend,6
thousands,6
title,6
tolerated,6
train,6
types,6
unhappy,6
union,6
unorganised,6
useless,6
vary,6
warning,6
wasting,6
weekly,6
women,6
worker,6
youve,6
career-advancement,6
constant-change,6
dont-listen,6
internal-communications,6
level-management,6
line-management,6
line-manager,6
line-staff,6
low-morale,6
low-staff,6
lower-level,6
management-bullying,6
micro-management,6
national-trust,6
nonprofit-organization,6
pay-isnt,6
poorly-managed,6
short-staffed,6
sign-ups,6
staff-development,6
staff-management,6
strategic-direction,6
support-staff,6
terrible-pay,6
top-management,6
unrealistic-targets,6
upward-mobility,6
front-line-staff,6
"
lack",5
"
senior",5
"
the",5
"
they",5
"
too",5
abysmal,5
accept,5
actively,5
addressed,5
advise,5
affects,5
age,5
agree,5
ambition,5
amounts,5
anymore,5
appalling,5
appears,5
archaic,5
aspects,5
attracting,5
awareness,5
beginning,5
beneficiaries,5
bonuses,5
broken,5
budgets,5
bullies,5
burden,5
burnout,5
capacity,5
careful,5
center,5
centres,5
chances,5
christmas,5
clinical,5
clunky,5
coffee,5
complicated,5
confused,5
confusing,5
connection,5
conservation,5
corrupt,5
covered,5
covering,5
cross,5
cruk,5
cutting,5
data,5
deaf,5
dedicated,5
dependent,5
difference,5
disregard,5
diverse,5
divide,5
doesn’t,5
donated,5
double,5
downhill,5
draining,5
drama,5
drop,5
duplication,5
dusty,5
dysfunctional,5
easier,5
effectiveness,5
efficient,5
encouragement,5
energy,5
ensure,5
everyones,5
examples,5
exciting,5
existent,5
favour,5
fighting,5
financially,5
flow,5
force,5
forced,5
form,5
goal,5
happened,5
hardworking,5
heard,5
hired,5
holding,5
honestly,5
hospital,5
i’m,5
inconsistent,5
increases,5
induction,5
industry,5
inflexible,5
inside,5
insurance,5
invested,5
investing,5
isolated,5
items,5
joined,5
joining,5
keeping,5
kids,5
leaves,5
legacy,5
lie,5
looked,5
los,5
losing,5
luck,5
meaning,5
mid,5
mistake,5
moral,5
motivated,5
movement,5
network,5
nhs,5
note,5
odd,5
online,5
operations,5
oversight,5
para,5
partime,5
passed,5
passion,5
peoples,5
permanent,5
pick,5
pockets,5
possibility,5
posts,5
praise,5
professionally,5
provide,5
quit,5
rain,5
raising,5
realise,5
residents,5
rewards,5
rigid,5
rnli,5
simple,5
simply,5
single,5
site,5
skilled,5
smoke,5
south,5
starters,5
starting,5
stop,5
streets,5
stretched,5
strict,5
structural,5
structured,5
struggles,5
suffer,5
suffering,5
survive,5
technical,5
theft,5
there’s,5
thier,5
total,5
una,5
unclear,5
underway,5
unhealthy,5
unnecessarily,5
unqualified,5
valuable,5
wasteful,5
words,5
written,5
6-months,5
7-days,5
animal-welfare,5
bit-boring,5
bullying-culture,5
complex-organisation,5
director-level,5
empire-building,5
extra-pay,5
fast-paced,5
hr-support,5
human-resources,5
human-rights,5
low-compared,5
lunch-break,5
management-management,5
management-structure,5
middle-class,5
office-staff,5
organisation-management,5
pay-increase,5
pay-rises,5
personal-development,5
poor-decision,5
poor-salary,5
professional-development,5
senior-manager,5
shop-manager,5
short-term,5
sick-leave,5
toxic-environment,5
treat-employees,5
turnover-rate,5
vacation-time,5
low-staff-morale,5
lower-level-staff,5
poor-senior-management,5
senior-management-dont,5
"
no",4
"

i",4
"
management",4
"
not",4
absolute,4
abusive,4
academic,4
accepted,4
accounting,4
achieved,4
acknowledge,4
acknowledgement,4
actionaid,4
administration,4
advertised,4
advice,4
advised,4
agenda,4
ago,4
agreed,4
ai,4
aid,4
aims,4
allowing,4
amnesty,4
andor,4
apparent,4
apparently,4
appetite,4
approaches,4
attack,4
authority,4
avoid,4
basics,4
bills,4
book,4
boss,4
bothered,4
brc,4
camp,4
candidates,4
careers,4
catering,4
caught,4
caused,4
chain,4
challenged,4
chaos,4
charitys,4
chiefs,4
choice,4
christians,4
claim,4
claims,4
climate,4
climb,4
closely,4
collaborate,4
collaborative,4
command,4
commitments,4
comms,4
compensated,4
compete,4
competition,4
complaint,4
concern,4
conservative,4
consuming,4
continually,4
contracted,4
corps,4
count,4
creative,4
damage,4
dangerous,4
decisionmaking,4
deep,4
delivering,4
demonstrate,4
depressing,4
dept,4
designed,4
detached,4
difficulties,4
directions,4
directorates,4
disability,4
disaster,4
disconnected,4
disengaged,4
drag,4
driving,4
du,4
effort,4
ego,4
egos,4
emergency,4
emotional,4
emphasis,4
encourage,4
enthusiasm,4
excellent,4
excessive,4
exist,4
expectation,4
externally,4
extreme,4
eye,4
favoured,4
favourite,4
feelings,4
fellow,4
female,4
fewer,4
figure,4
fill,4
filled,4
finish,4
fixed,4
freezing,4
frustration,4
gap,4
gender,4
gift,4
greedy,4
grievances,4
handling,4
hectic,4
helped,4
helps,4
homeless,4
hope,4
humanitarian,4
hundreds,4
i’ve,4
illness,4
image,4
impacts,4
implementation,4
increased,4
infighting,4
input,4
instability,4
internet,4
interview,4
irregular,4
journey,4
keen,4
lacked,4
laid,4
larger,4
le,4
legal,4
limiting,4
loose,4
loyal,4
lying,4
machine,4
"management
",4
minor,4
morning,4
nonprofits,4
norm,4
offers,4
oldfashioned,4
ongoing,4
openly,4
operation,4
organizations,4
oriented,4
passive,4
pathways,4
pays,4
pet,4
phones,4
picture,4
play,4
playing,4
por,4
post,4
price,4
principles,4
prioritised,4
product,4
promised,4
property,4
prospects,4
protect,4
qualified,4
questions,4
quo,4
racist,4
rampant,4
rapidly,4
recording,4
recruited,4
recruiting,4
reducing,4
reflective,4
rejection,4
religion,4
rely,4
removed,4
