Company,Code,Group
Goldman,2800,Goldman Sachs
Wells Fargo,8876,Banking
JP Morgan,145,Banking
Citigroup,8843,Banking
Bank of America,8874,Banking
US Bancorp,8937,Banking
Morgan Stanley,2282,Banking
Nomura,3475,Banking
Royal Bank of Canada,3358,Banking
BNP Paribas,10342,Banking
Deutsche Bank,3150,Banking
UBS,3419,Banking
Credit Suisse,3141,Banking
HSBC,3482,Banking
Barclays,3456,Banking
Facebook,40772,Tech
Google,9079,Tech
Apple,1138,Tech
Amazon,6036,Tech
Microsoft,1651,Tech
Linkedin,34865,Tech
SAP,10471,Tech
Adobe,1090,Tech
Salesforce,11159,Tech
Expedia,9876,Tech
Cisco,1425,Tech
Appdynamics,319551,Tech
VM ware,12830,Tech
